"","g1p","g2p","k01","n1","k02","n2","a","b","g1","g2","n","dt"
"lo.pars",1e-05,1e-05,1e-06,1,1e-06,1,1,1,1e-05,1e-05,1,1e-10
"hi.pars",10,10,10,4,10,4,60000,1e+05,3,3,20,100
